Date and time (UTC),"Rocket, Booster Version",Boosters,Stage 2 Version,Stage 2 Serial Number,Launch site,Time Between Launches,Payload,Payload mass,Orbit,Customer,Launchoutcome,Landing Location,Booster landing / Ship landing,Latitude,Longitude,Support,Tug,Recovered,Fairing Flight Numbers,Fairing Recovery Ships,Fairing Latitude,Fairing Longitude
12/6/20 16:17,F9 v1.2 B5.3,B1058-4,Unknown,Unknown,LC-39A,"11 days, 14 hours, 03 minutes",SpaceX CRS-21 (Dragon C208-1),"2,972 kg (6,552 lb) (excl. Dragon mass)",Low-Earth Orbit,NASA (CRS),Success,OCISLY,Success,32.5928,-76.0392,GO Quest,Hawk,N/A,N/A,N/A,N/A,N/A
12/13/20 17:30,F9 v1.2 B5.1,B1051-7,Unknown,Unknown,SLC-40,"7 days, 01 hours, 12 minutes",SXM-7,"7,000 kg (15,000 lb)",Geostationary Transfer Orbit,Sirius XM,Success,JRtI,Success,28.3500,-74.0050,GO Quest,Finn Falgout,Yes / Yes,1 / 2,GO Ms. Tree / GO Searcher,28.2805,-72.4669
12/19/20 14:00,F9 v1.2 B5.3,B1059-5,Unknown,Unknown,LC-39A,"5 days, 20 hours, 30 minutes",NROL-108,Classified,Low-Earth Orbit,NRO,Success,LZ-1,Success,N/A,N/A,N/A,N/A,Yes / Yes,1 / 1,GO Ms. Tree / GO Searcher,30.6557,-78.2368
1/8/21 2:15,F9 v1.2 B5.4,B1060-4,Unknown,Unknown,SLC-40,"19 days, 12 hours, 14 minutes",Türksat 5A,"3,500 kg (7,700 lb)",Geostationary Transfer Orbit,Türksat,Success,JRtI,Success,28.2919,-73.7064,GO Quest,Finn Falgout,No / Yes,2 / 2,GO Ms. Tree / GO Ms. Chief,28.1033,-71.9681
1/20/21 13:02,F9 v1.2 B5.1,B1051-8,Unknown,Unknown,LC-39A,"12 days, 10 hours, 47 minutes",Starlink 16 v1.0 (60 satellites),"15,600 kg (34,400 lb)",Low-Earth Orbit,SpaceX,Success,JRtI,Success,32.5803,-75.8806,GO Quest,Hawk,No / No,3 / 2,GO Ms. Tree / GO Ms. Chief,32.8067,-75.0928
1/24/21 15:00,F9 v1.2 B5.3,B1058-5,Unknown,Unknown,SLC-40,"4 days, 01 hours, 57 minutes",Transporter-1: (143 smallsat rideshare),"~5,000 kg (11,000 lb)",Sun-Synchronous Orbit,Various,Success,OCISLY,Success,23.5982,-79.1433,GO Searcher,Finn Falgout,Yes / Yes,1 / 1,GO Ms. Tree / GO Ms. Chief,23.2352,-78.9927
2/4/21 6:19,F9 v1.2 B5.4,B1060-5,Unknown,Unknown,SLC-40,"10 days, 15 hours, 18 minutes",Starlink 18 v1.0 (60 satellites),"15,600 kg (34,400 lb)",Low-Earth Orbit,SpaceX,Success,OCISLY,Success,32.5803,-75.8806,GO Quest,Lauren Floss,Yes / Yes,2 / 2,GO Ms. Tree / GO Ms. Chief,32.6623,-75.2623
2/16/21 3:59,F9 v1.2 B5.3,B1059-6,Unknown,Unknown,SLC-40,"11 days, 21 hours, 40 minutes",Starlink 19 v1.0 (60 satellites),"15,600 kg (34,400 lb)",Low-Earth Orbit,SpaceX,Success,OCISLY,Failure,32.5803,-75.8806,GO Quest,Hawk,Yes / No,1 / 1,GO Ms. Chief / GO Ms. Tree,33.0650,-75.3517
3/4/21 8:24,F9 v1.2 B5.0,B1049-8,Unknown,Unknown,LC-39A,"16 days, 04 hours, 24 minutes",Starlink 17 v1.0 (60 satellites),"15,600 kg (34,400 lb)",Low-Earth Orbit,SpaceX,Success,OCISLY,Success,32.3583,-76.0567,GO Quest,Hawk,Yes / Yes,4 / 3,GO Navigator / GO Searcher,32.6804,-75.5142
3/11/21 8:13,F9 v1.2 B5.3,B1058-6,Unknown,Unknown,SLC-40,"6 days, 23 hours, 49 minutes",Starlink 20 v1.0 (60 satellites),"15,600 kg (34,400 lb)",Low-Earth Orbit,SpaceX,Success,JRtI,Success,32.4409,-76.0132,GO Quest,Finn Falgout,Yes / Yes,2 / 3,GO Navigator  / GO Searcher ,32.7836,-75.5665
3/14/21 10:01,F9 v1.2 B5.1,B1051-9,Unknown,Unknown,LC-39A,"3 days, 01 hours, 47 minutes",Starlink 21 v1.0 (60 satellites),"15,600 kg (34,400 lb)",Low-Earth Orbit,SpaceX,Success,OCISLY,Success,32.4890,-76.0483,GO Quest,Hawk,Yes / Yes,2 / 2,GO Navigator  / GO Searcher,32.6549,-75.2794
3/24/21 8:28,F9 v1.2 B5.4,B1060-6,Unknown,Unknown,SLC-40,"9 days, 22 hours, 27 minutes",Starlink 22 v1.0 (60 satellites),"15,600 kg (34,400 lb)",Low-Earth Orbit,SpaceX,Success,OCISLY,Success,32.4588,-76.0532,GO Quest,Finn Falgout,Yes / Yes,2 / 2,Shelia Bordelon,32.9883,-75.4900
4/7/21 16:34,F9 v1.2 B5.3,B1058-7,Unknown,Unknown,SLC-40,"14 days, 08 hours, 06 minutes",Starlink 23 v1.0 (60 satellites),"15,600 kg (34,400 lb)",Low-Earth Orbit,SpaceX,Success,OCISLY,Success,32.5656,-75.9078,GO Quest,Finn Falgout,Yes / No,4 / 2,Shelia Bordelon,32.6767,-75.4683
4/23/21 9:49,F9 v1.2 B5.4,B1061-2,Unknown,Unknown,LC-39A,"15 days, 17 hours, 15 minutes",Crew-2 (Crew Dragon C206-2 Endeavour),"~12,500 kg (27,600 lb)",Low-Earth Orbit,NASA (CTS),Success,OCISLY,Success,32.1581,-76.7414,GO Quest,Finn Falgout,N/A,N/A,N/A,N/A,N/A
4/29/21 3:44,F9 v1.2 B5.4,B1060-7,Unknown,Unknown,SLC-40,"5 days, 17 hours, 54 minutes",Starlink 24 v1.0 (60 satellites),"15,600 kg (34,400 lb)",Low-Earth Orbit,SpaceX,Success,JRtI,Success,32.5373,-75.9415,GO Quest,Finn Falgout,Yes / Yes,1 / 1,Shelia Bordelon,32.8550,-75.4900
