Key:,"*Note, all dates UTC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Booster lost,No Landing Attempt,Landing Failure,Compleaty Blew Up!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upcoming,Successful Land Landing,Successful ASDS Landing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Core:,Booster Average,Flight -1,First Flight Date,Flight -2,Second Flight Date,Turn Around Time,Flight -3,Third Flight Date,Turn Around Time,Flight -4,Fourth Flight Date,Turn Around Time,Flight -5,Fifth Flight Date,Turn Around Time,Flight -6,Sixth Flight Date,Turn Around Time,Flight -7,Seventh Flight Date,Turn Around Time,Flight -8,Eight Flight Date,Turn Around Time,Flight -9,Ninth Flight Date,Turn Around Time,Flight -10,Tenth Flight date,Turn Around Time,Flight -11,Eleventh Flight Date,Turn Around Time,Flight -12,Twelfth Flight Date,Turn Around Time,Flight -13,Thirteenth Flight Date,Turn Around Time,Flight -14,Fourteenth Flight Date,Turn Around Time,Flight -15,Fifteenth Flight Date,Turn Around Time,Flight -16,Sixteenth Flight Date,Turn Around Time,Flight -17,Seventeenth Flight Date,Turn Around Time,Flight -18,Eighteenth Flight Date,Turn Around Time,Flight -19,Nineteenth Flight Date,Turn Around Time
B1069,-3182.24,CRS-24,12/21/21 10:07,Starlink Group 4-23,8/28/22 3:41,249.73,Hotbird 13F,10/15/22 5:22,48.07,OneWeb 15,12/8/22 22:27,54.71,Starlink Group 5-3,2/2/23 7:58,55.40,SES 18&19,3/17/2023 23:38,43.65,Starlink Group 5-6,5/4/23 7:31,47.33,Starlink Group 5-12,6/23/23 15:35,50.34,Starlink Group 6-9,08/11/23 5:17,48.57,Starlink Group 6-19,9/30/23 2:00,49.86,Starlink Group 6-28,11/18/23 5:05,49.13,Starlink Group 6-36,12/29/23 4:01,40.95,Starlink Group 6-39,2/25/2024 22:06:00,58.75,Starlink Group 6-47,04/05/24 9:12,39.46,,,-45387.38,,,,,,,,,,,,
B1070,#DIV/0!,USSF-67 Center,1/15/23 22:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1071,56.38,NROL-87,2/2/22 20:27,NROL-85,4/17/22 13:13,73.70,SARah 1,6/18/22 14:19,62.05,Starlink Group 3-2,7/22/22 17:39,34.14,Starlink Group 4-29,10/5/2022 23:10,75.23,SWOT,12/16/22 11:46,71.52,Starlink Group 2-6,1/31/23 16:15,46.19,Starlink Group 2-8,3/17/2023 19:26,45.13,Transporter-8,6/12/2023 21:35,87.09,Starlink Group 6-15,7/20/23 4:09,37.27,Starlink Group 7-2,9/12/23 6:57,54.12,Transporter-9,11/11/2023 18:49:00,60.49,Starlink Group 7-8,12/08/23 8:03,26.55,Starlink Group 7-13,02/10/24 0:34,63.69,Starlink Group 7-18,04/02/24 2:30,52.08,,,,,,,,,,,,
B1072,#DIV/0!,Europa Clipper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1073,55.01,Starlink Group 4-15,5/14/22 20:40,SES-22,6/29/22 21:04,46.02,Starlink Group 4-26,8/10/22 2:14,41.22,Starlink Group 4-35,9/24/2022 23:32,45.89,HAKUTO-R Mission 1,12/11/22 7:38,77.34,Amazonas Nexus,2/7/23 1:32,57.75,CRS-27,3/15/23 0:30,35.96,Starlink Group 6-2,4/19/2023 14:31,35.58,Starlink Group 5-11,6/12/2023 7:10,53.69,Starlink Group 6-12,9/4/23 2:47,83.82,Starlink Group 6-27,11/8/23 5:05,65.10,Starlink Group 6-37,1/15/24 1:52,67.87,Starlink Group 6-41,03/04/24 23:56,49.92,,,,,,,,,,,,,,,,,,
B1074,#DIV/0!,EchoStar 3 / Jupiter 3 Center,7/29/23 3:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1075,42.44,Starlink Group 2-4,1/19/23 15:43,SDA T&T Tranche 0-1,4/2/23 14:29,72.95,Starlink Group 2-9,5/10/23 20:09,38.24,Starlink Group 5-7,6/22/2023 7:19:00,42.47,Starlink Group 6-20,8/8/23 3:57,46.86,Starlink Group 7-3,9/25/23 8:48,48.20,Starlink Group 7-6,10/29/2023 9:00,34.01,SARah 2 & 3,12/24/2023 13:11,56.17,Starlink Group 7-12,01/29/24 5:57,35.70,Starlink Group 7-16,03/19/24 2:28,49.85,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,
B1076,44.56,CRS-26,11/26/22 19:20,OneWeb 16,1/10/23 4:50,44.40,Starlink Group 6-1,2/27/23 23:13,48.77,Intelsat 40e/TEMPO,4/7/2023 4:30:00,38.22,Starlink Group 6-3,5/19/2023 6:19,42.08,Starlink Group 6-6,7/24/23 0:50,65.77,Starlink Group 6-14,9/9/2023 3:12:50,47.10,Starlink Group 6-21,10/05/23 5:36,26.10,O3b mPOWER 5&6,11/12/2023 21:08,38.65,Ovzon-3,01/03/24 23:04,52.08,Starlink Group 6-40,02/29/24 15:30,56.68,Eutelsat 36D,03/30/24 21:52,30.27,,,,,,,,,,,,,,,,,,,,,
B1077,52.23,Crew-5,10/5/22 16:00,GPS III SV06,1/18/23 12:24,104.85,Inmarsat I-6,2/18/23 3:59,30.65,Starlink Group 5-10,3/29/2023 20:01,39.67,CRS-28,6/5/2023 15:47,67.82,Galaxy 37,8/3/23 5:00,58.55,Starlink Group 6-13,9/1/23 2:21,28.89,Starlink Group 6-25,10/30/23 23:20,59.87,Starlink Group 6-33,12/07/23 5:07,37.24,NG-20,01/30/24 17:07,54.50,Starlink Group 6-43,03/10/24 23:05,40.25,,,,,,,,,,,,,,,,,,,,,,,,
B1078,55.68,Crew-6,3/2/23 5:34,O3b mPOWER 3&4,4/28/2023 22:12:00,57.69,Starlink Group 6-4,6/4/23 12:20,36.59,Starlink Group 6-8,8/7/23 2:41,63.60,Starlink Group 6-16,9/16/23 3:38,40.04,Starlink Group 6-31,12/03/23 4:00,78.02,USSF-124,2/14/2024 22:30:00,73.77,Starlink Group 6-46,03/25/24 23:42,40.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
